TF,Fast,Slow,Band,TP,SL,ROE,Trades,WinRate
5min,9,50,10,0.05,0.01,5.616000000000113,130,27.692307692307693
5min,6,50,20,0.05,0.03,5.615999999999971,73,50.68493150684932
15min,12,26,30,0.05,0.02,5.615999999999943,49,51.02040816326531
15min,3,50,50,0.03,0.03,5.613000000000014,64,68.75
1min,6,50,10,0.05,0.02,5.60700000000007,165,35.15151515151515
5min,12,50,20,0.05,0.02,5.606499999999869,89,41.57303370786517
15min,3,15,10,0.03,0.03,5.6059999999999945,62,69.35483870967742
15min,9,20,10,0.05,0.02,5.598999999999961,56,48.214285714285715
15min,12,15,10,0.05,0.01,5.596499999999992,48,43.75
15min,12,20,20,0.05,0.01,5.594999999999985,54,40.74074074074074
15min,3,15,50,0.05,0.01,5.588999999999984,49,42.857142857142854
5min,12,50,10,0.05,0.03,5.586499999999944,76,50.0
15min,9,26,50,0.05,0.02,5.584999999999965,42,54.761904761904766
5min,9,60,50,0.05,0.01,5.5820000000000505,97,30.927835051546392
15min,6,26,10,0.05,0.02,5.571999999999974,59,47.45762711864407
5min,9,26,30,0.05,0.03,5.57199999999996,55,54.54545454545454
5min,6,60,50,0.05,0.03,5.56899999999996,63,52.38095238095239
15min,6,15,50,0.05,0.01,5.562500000000014,37,51.35135135135135
15min,12,50,10,0.05,0.01,5.559999999999974,82,32.926829268292686
5min,6,50,50,0.05,0.03,5.55149999999999,63,52.38095238095239
5min,9,26,10,0.05,0.03,5.550999999999959,73,50.68493150684932
15min,9,20,10,0.05,0.01,5.541999999999987,67,35.82089552238806
5min,12,26,10,0.05,0.02,5.536999999999935,93,40.86021505376344
15min,9,20,30,0.05,0.01,5.533000000000001,55,40.0
15min,6,60,30,0.05,0.01,5.53199999999994,77,33.76623376623377
15min,6,26,10,0.05,0.01,5.5249999999999915,71,35.2112676056338
15min,9,60,20,0.05,0.02,5.5229999999999535,66,45.45454545454545
15min,9,20,20,0.05,0.02,5.517999999999958,53,49.056603773584904
15min,9,50,50,0.05,0.02,5.5169999999999675,53,49.056603773584904
15min,6,26,30,0.05,0.01,5.511999999999986,61,37.704918032786885
15min,3,10,20,0.05,0.01,5.510499999999979,56,39.285714285714285
5min,12,60,10,0.05,0.03,5.5104999999999364,79,49.36708860759494
15min,9,20,20,0.05,0.01,5.506999999999977,61,37.704918032786885
15min,12,50,50,0.05,0.02,5.505499999999955,53,49.056603773584904
15min,9,50,50,0.05,0.01,5.496999999999986,61,37.704918032786885
15min,12,26,30,0.05,0.01,5.496499999999969,55,40.0
15min,9,50,10,0.05,0.02,5.492999999999967,66,45.45454545454545
15min,6,50,50,0.03,0.03,5.490000000000009,57,70.17543859649122
15min,6,60,50,0.05,0.01,5.485499999999959,73,34.24657534246575
15min,9,60,20,0.03,0.03,5.4809999999999945,69,66.66666666666666
15min,12,50,50,0.05,0.01,5.478499999999983,61,37.704918032786885
15min,6,26,30,0.03,0.03,5.469499999999982,53,71.69811320754717
15min,6,60,30,0.03,0.03,5.468500000000006,69,66.66666666666666
15min,9,50,30,0.05,0.02,5.46099999999997,60,46.666666666666664
5min,12,60,30,0.05,0.03,5.4609999999999275,74,50.0
15min,6,50,20,0.05,0.02,5.449499999999915,63,46.03174603174603
15min,9,50,10,0.03,0.03,5.4484999999999815,69,66.66666666666666
15min,12,20,30,0.05,0.03,5.446999999999974,37,62.16216216216216
5min,12,50,20,0.05,0.01,5.4459999999999695,116,28.448275862068968
5min,9,60,20,0.05,0.03,5.444999999999922,74,50.0
15min,9,20,10,0.03,0.03,5.444000000000003,59,69.49152542372882
15min,12,26,50,0.05,0.02,5.441999999999965,40,55.00000000000001
15min,6,50,30,0.03,0.03,5.438500000000019,67,67.16417910447761
5min,12,20,10,0.05,0.02,5.436999999999941,87,41.37931034482759
15min,6,20,10,0.03,0.03,5.4354999999999905,61,68.85245901639344
15min,6,26,10,0.03,0.03,5.4339999999999975,63,68.25396825396825
15min,9,60,10,0.03,0.03,5.429999999999978,73,65.75342465753424
15min,9,15,10,0.03,0.03,5.427500000000009,55,70.9090909090909
15min,3,20,50,0.05,0.01,5.426999999999978,51,41.17647058823529
5min,12,50,10,0.05,0.02,5.424499999999924,97,40.20618556701031
15min,6,50,20,0.05,0.01,5.420999999999935,78,33.33333333333333
5min,9,60,30,0.05,0.03,5.420499999999947,74,50.0
5min,12,60,10,0.05,0.01,5.418500000000094,127,27.559055118110237
15min,6,10,10,0.03,0.03,5.417500000000018,53,71.69811320754717
15min,3,15,20,0.03,0.03,5.406500000000008,59,69.49152542372882
15min,6,60,30,0.05,0.02,5.406499999999923,63,46.03174603174603
15min,9,20,50,0.05,0.01,5.400999999999996,39,48.717948717948715
